Year;Month;Day;Time;Price_1
2019;1;9;23;62.44
2019;1;9;24;54.7
2019;1;10;1;58.6
2019;1;10;2;50.49
2019;1;10;3;51.2
2019;1;10;4;48.8
2019;1;10;5;48.5
2019;1;10;6;49.8
2019;1;10;7;57.74
2019;1;10;8;66.18
2019;1;10;9;67.2
2019;1;10;10;68.0
2019;1;10;11;67.73
2019;1;10;12;67.05
2019;1;10;13;66.15
2019;1;10;14;66.01
2019;1;10;15;64.18
2019;1;10;16;63.52
2019;1;10;17;64.6
2019;1;10;18;67.2
2019;1;10;19;69.0
2019;1;10;20;69.69
2019;1;10;21;69.75
2019;1;10;22;67.73
2019;1;10;23;65.52
2019;1;10;24;63.02
2019;1;11;1;60.84
2019;1;11;2;55.61
2019;1;11;3;52.85
2019;1;11;4;51.0
2019;1;11;5;49.98
2019;1;11;6;51.6
2019;1;11;7;58.31
2019;1;11;8;68.35
2019;1;11;9;69.01
2019;1;11;10;69.45
2019;1;11;11;69.01
2019;1;11;12;67.71
2019;1;11;13;67.69
2019;1;11;14;67.2
2019;1;11;15;67.66
2019;1;11;16;66.06
2019;1;11;17;66.18
2019;1;11;18;68.07
2019;1;11;19;70.0
2019;1;11;20;70.45
2019;1;11;21;69.19
2019;1;11;22;67.12
2019;1;11;23;66.03
2019;1;11;24;63.9
2019;1;12;1;67.18
2019;1;12;2;59.86
2019;1;12;3;53.89
2019;1;12;4;51.6
2019;1;12;5;51.4
2019;1;12;6;51.45
2019;1;12;7;52.37
2019;1;12;8;57.49
2019;1;12;9;64.0
2019;1;12;10;68.0
2019;1;12;11;68.39
2019;1;12;12;67.13
2019;1;12;13;64.69
2019;1;12;14;66.12
2019;1;12;15;64.58
2019;1;12;16;59.86
2019;1;12;17;57.52
2019;1;12;18;59.86
2019;1;12;19;68.39
2019;1;12;20;69.45
2019;1;12;21;69.69
2019;1;12;22;69.45
2019;1;12;23;68.71
2019;1;12;24;67.83
2019;1;13;1;57.48
2019;1;13;2;52.29
2019;1;13;3;51.19
2019;1;13;4;50.79
2019;1;13;5;49.91
2019;1;13;6;50.79
2019;1;13;7;50.79
2019;1;13;8;51.19
2019;1;13;9;51.31
2019;1;13;10;52.29
2019;1;13;11;61.78
2019;1;13;12;62.5
2019;1;13;13;63.15
2019;1;13;14;66.0
2019;1;13;15;66.0
2019;1;13;16;63.67
2019;1;13;17;60.82
2019;1;13;18;64.39
2019;1;13;19;68.52
2019;1;13;20;70.11
2019;1;13;21;71.69
2019;1;13;22;71.69
2019;1;13;23;70.01
2019;1;13;24;68.0
2019;1;14;1;69.89
2019;1;14;2;68.88
2019;1;14;3;67.01
2019;1;14;4;66.16
2019;1;14;5;56.2
2019;1;14;6;56.2
2019;1;14;7;56.2
2019;1;14;8;66.49
2019;1;14;9;67.83
2019;1;14;10;68.07
2019;1;14;11;67.27
2019;1;14;12;67.0
2019;1;14;13;67.2
2019;1;14;14;66.42
2019;1;14;15;64.33
2019;1;14;16;62.56
2019;1;14;17;62.84
2019;1;14;18;68.07
2019;1;14;19;71.64
2019;1;14;20;72.52
2019;1;14;21;71.81
2019;1;14;22;70.11
2019;1;14;23;68.4
2019;1;14;24;65.54
2019;1;15;1;60.0
2019;1;15;2;56.2
2019;1;15;3;54.9
2019;1;15;4;54.9
2019;1;15;5;54.9
2019;1;15;6;57.57
2019;1;15;7;66.01
2019;1;15;8;68.65
2019;1;15;9;70.16
2019;1;15;10;70.11
2019;1;15;11;71.04
2019;1;15;12;70.11
2019;1;15;13;69.43
2019;1;15;14;69.43
2019;1;15;15;69.13
2019;1;15;16;68.99
2019;1;15;17;69.08
2019;1;15;18;71.52
2019;1;15;19;74.05
2019;1;15;20;74.74
2019;1;15;21;72.92
2019;1;15;22;72.71
2019;1;15;23;71.88
2019;1;15;24;70.16
2019;1;16;1;70.16
2019;1;16;2;68.4
2019;1;16;3;66.0
2019;1;16;4;63.93
2019;1;16;5;61.07
2019;1;16;6;63.93
2019;1;16;7;68.07
2019;1;16;8;70.3
2019;1;16;9;71.69
2019;1;16;10;72.47
2019;1;16;11;72.2
2019;1;16;12;71.04
2019;1;16;13;70.04
2019;1;16;14;70.0
2019;1;16;15;68.71
2019;1;16;16;68.29
2019;1;16;17;68.29
2019;1;16;18;69.59
