Year,Month,Day,Temp_min_C_Nat,Temp_max_C_Nat,Temp_media_C_Nat,RadiacionGlobal_media_Wm2_Nat,Viento_media_ms_Nat,DayOfYear
2026,1,1,1.6027550024901154,9.724802599234888,5.586566281850121,87.38497852183092,2.865282705860795,1
2026,1,2,1.9466569506564133,9.455007229655587,5.27787241969601,82.21428700665264,2.3868868454525414,2
2026,1,3,2.035699231895516,10.262937876954918,5.754510942532362,91.16535893461477,2.8281322611282604,3
2026,1,4,3.197326502368877,10.814915373682325,6.430020732824166,100.08715058661215,2.56731628494331,4
2026,1,5,2.5469090065647473,10.699503526120075,6.26548377925259,98.05910139311045,2.094905971260653,5
2026,1,6,1.9163214523752377,9.50988757906716,5.327120202909936,95.16467530904065,1.9271957148408683,6
2026,1,7,1.4490929388937794,8.873430211611394,4.833670598776162,84.03610141718512,2.042886026938124,7
2026,1,8,1.6725557389569234,8.785238121697963,4.79525138466544,69.30181608902966,2.2728543054717316,8
2026,1,9,1.1638224141981997,8.98134932455677,4.612795560905753,82.43006046295964,2.4635935860595817,9
2026,1,10,1.1760111932499773,9.05779681240776,4.74295345738413,86.027448136701,2.055186694223084,10
2026,1,11,0.5965951415435784,9.03654872911972,4.2822048644948465,91.36002971031229,1.7861227047871435,11
2026,1,12,0.15275636060670278,10.216291086082402,4.95878815930355,88.33262560501937,1.5480797738480592,12
2026,1,13,0.960713417608957,9.806866532161882,4.93460181213957,101.65394993224915,1.7410162675017906,13
2026,1,14,1.4620277496266707,10.42360398848144,5.640083625123906,109.09192110985647,1.791763564824455,14
2026,1,15,1.060433843738838,10.086355246161336,5.311078086387716,98.92448726388334,2.061955505855197,15
2026,1,16,2.4217955138057325,10.940372516712733,6.572666457817261,77.01546919768563,2.4320726115007516,16
2026,1,17,3.838914357139814,11.499051476379442,7.43915148800578,96.42131645273233,2.817993634796397,17
2026,1,18,3.134771001517198,10.9964715578702,6.868755083926967,94.58607512768322,2.690019635715344,18
2026,1,19,3.8645440700605764,10.105696871057335,6.961064181372468,93.08854029834009,1.987654483782092,19
2026,1,20,2.850580273998258,9.9555234994128,6.11293934670048,83.30190633542725,2.0882876718443133,20
2026,1,21,2.342312585787228,10.327595125748246,6.297353752569993,94.07840583738972,2.286875797674378,21
2026,1,22,2.631336450185045,10.447924144652154,6.4129890886312975,93.29040522383137,2.1877606326966657,22
2026,1,23,2.3434694301072025,10.15598743302614,6.202424223720882,105.52401892917469,2.148202521647209,23
2026,1,24,2.1548299124684696,10.325385730966179,5.84426984595852,108.86015105216151,2.309572629136841,24
2026,1,25,1.947406424873964,8.751259564050686,5.26575230111991,105.60852717772437,2.4405146129164113,25
2026,1,26,1.5633607492835921,9.644160347593226,5.101457131916479,115.5998380095404,2.6785060618826284,26
2026,1,27,0.5944071590748936,8.146315784859288,4.101832745926755,88.09648201497544,3.028949714581911,27
2026,1,28,-0.03827701403894855,10.403695310422014,4.699985759480828,132.79021373480936,2.215899326077938,28
2026,1,29,1.009180266636505,11.185472903811219,5.717067630599981,138.66044609787554,2.146429486745146,29
2026,1,30,2.7660068232078197,11.132351032380154,6.496634597468864,126.95998373680617,2.673492479704049,30
2026,1,31,1.8830638043078574,11.571843860217697,6.397738038010513,130.1197355207167,2.2931581253581714,31
2026,2,1,1.1617472188696316,10.38690562232061,6.096397370124833,102.00362105011844,2.6058754789504546,32
2026,2,2,1.5457586216428219,9.055329492528854,4.983535914905025,107.31357186094668,2.618520042117539,33
2026,2,3,1.4413210751206298,9.102121179021953,4.819723734599902,102.2384123459167,2.975791696945411,34
2026,2,4,1.5875240020898724,9.280118724022905,5.066210113982915,103.30461308680215,3.354739324333568,35
2026,2,5,2.251977542091977,8.865666991317173,5.377513460036978,94.68257427678478,2.967857785489968,36
2026,2,6,2.1603524227925526,10.141261394146868,5.847683491156604,137.18116414868422,3.50609564389795,37
2026,2,7,0.6713164735546164,9.189666608233335,4.9411487647152414,134.91941547366704,3.2125629236846276,38
2026,2,8,-0.26860912737083953,9.05816632471651,4.218962306699911,128.4273440865704,3.382504772768348,39
2026,2,9,1.0252187599572888,10.531609580405435,5.469902517007877,138.49184245914137,2.8597650791538105,40
2026,2,10,1.074208143989128,10.888030112063186,5.955270156500176,149.4050276649281,2.993883692731519,41
2026,2,11,0.9432538245155417,10.926846809620075,5.537991320721058,155.35435404369784,2.8463629427192867,42
2026,2,12,1.0087735466812735,10.336219103317744,5.455263904758652,151.1880034081801,2.4674354606939586,43
2026,2,13,1.8589101760775357,11.541924428168981,6.368335969169751,155.7202461024231,3.412983480599559,44
2026,2,14,3.3436890660943495,11.551930354474537,7.272726248422072,139.19267109797522,3.725521344541557,45
2026,2,15,2.4159032711664747,10.89155444247034,6.489337188050791,153.72612142978005,2.600618780691248,46
2026,2,16,2.763424861177356,11.986870758823787,6.863579906102542,149.7226582905538,2.7552328275569002,47
2026,2,17,1.8825166048439206,11.985225621290152,6.5301769005127355,144.2544861621138,3.293270370684876,48
2026,2,18,1.864161406961774,11.62758395995206,6.338321108658291,138.26216094128566,2.8583149892428468,49
2026,2,19,2.773023765723996,11.96054039830377,7.040444290390977,139.25722482595347,2.704425722402433,50
2026,2,20,3.115029974935251,11.36339492972628,7.0503440518340454,152.76751626251598,3.1146462997580118,51
2026,2,21,1.2124021070128177,11.466274562095547,6.066833669828381,164.22469678119748,2.433663947806268,52
2026,2,22,0.9444861959130891,12.412623047290195,6.416218770095763,175.0990892341546,2.577587008520563,53
2026,2,23,1.2794770449620736,13.557651056270592,7.137228182668734,168.30813808719566,2.3843859652467407,54
