Municipio,Potencia,Grupo,Fecha,Provincia,__mun_key__,LATITUD_ETRS89,LONGITUD_ETRS89
AlfajarÃ­n,16000.0,Eolico,2007-04-12,Zaragoza,alfajaran,,
AlfajarÃ­n,14000.0,Eolico,2015-02-27,Zaragoza,alfajaran,,
Monesma y Cajigar,5.0,Solar,2003-10-24,Huesca,monesma cajigar,"42,26022","0,59727"
SabiÃ±Ã¡nigo,2.2,Solar,2004-11-01,Huesca,sabia+ a!nigo,,
Muel,5.0,Solar,2005-07-01,Zaragoza,muel,"41,46663061","-1,08483691"
Muel,5.0,Solar,2005-07-01,Zaragoza,muel,"41,46663061","-1,08483691"
Calatayud,2.5,Solar,2007-12-03,Zaragoza,calatayud,"41,35431931","-1,64472637"
Tarazona,5.0,Solar,2006-02-06,Zaragoza,tarazona,"41,90264813","-1,72518642"
Valderrobres,2.2,Solar,2007-03-07,Teruel,valderrobres,"40,87590223","0,1557343"
Muel,23250.0,Eolico,2003-12-05,Zaragoza,muel,"41,46663061","-1,08483691"
SabiÃ±Ã¡n,2.2,Solar,2005-07-01,Zaragoza,sabia+ a!n,,
Huesca,96.0,Solar,2005-10-01,Huesca,huesca,"42,14062739","-0,40842276"
Zaragoza,5.0,Solar,2005-07-01,Zaragoza,zaragoza,"41,65645655","-0,87928652"
BanastÃ¡s,5.0,Solar,2004-08-01,Huesca,banasta!s,,
Grado (El),5.0,Solar,2004-09-01,Huesca,grado,"42,15146924","0,22353061"
Zaragoza,5.0,Solar,2004-10-01,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Barbastro,5.0,Solar,2005-01-01,Huesca,barbastro,"42,03662727","0,12246205"
Alberite de San Juan,44800.0,Eolico,2005-06-22,Zaragoza,alberite san juan,"41,82047221","-1,47138793"
Sestrica,28800.0,Eolico,2005-05-20,Zaragoza,sestrica,"41,48703854","-1,594946"
Gurrea de GÃ¡llego,31350.0,Eolico,2005-08-17,Huesca,gurrea ga!llego,,
Gurrea de GÃ¡llego,8385.0,Solar,2024-11-29,Huesca,gurrea ga!llego,,
AguilÃ³n,36000.0,Eolico,2005-06-20,Zaragoza,aguila3n,,
Puebla de HÃ­jar (La),5.0,Solar,2004-12-01,Teruel,puebla hajar,,
AlfajarÃ­n,5.0,Solar,2005-06-01,Zaragoza,alfajaran,,
AlfajarÃ­n,5.0,Solar,2005-06-01,Zaragoza,alfajaran,,
Zaragoza,2.2,Solar,2005-07-01,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Calamocha,4.9,Solar,2007-11-12,Teruel,calamocha,"40,91961258","-1,30091517"
Calamocha,5.0,Solar,2005-11-01,Teruel,calamocha,"40,91961258","-1,30091517"
Calamocha,5.0,Solar,2005-11-01,Teruel,calamocha,"40,91961258","-1,30091517"
CastelserÃ¡s,9.9,Solar,2006-01-01,Teruel,castelsera!s,,
Fuendetodos,5.0,Solar,2005-12-01,Zaragoza,fuendetodos,"41,34240218","-0,95939508"
Zaragoza,29800.0,Eolico,2006-04-20,Zaragoza,zaragoza,"41,65645655","-0,87928652"
Aguaviva,5.0,Solar,2006-01-01,Teruel,aguaviva,"40,82246644","-0,19721142"
Torres de BarbuÃ©s,45.0,Solar,2006-01-01,Huesca,torres barbua c s,,
Herrera de los Navarros,2.2,Solar,2006-03-01,Zaragoza,herrera navarros,"41,21059411","-1,08257115"
Monesma y Cajigar,8.25,Solar,2006-03-01,Huesca,monesma cajigar,"42,26022","0,59727"
HÃ­jar,5.0,Solar,2006-04-01,Teruel,hajar,,
Teruel,5.0,Solar,2006-03-01,Teruel,teruel,"40,34412951","-1,10927177"
Villarroya del Campo,64.0,Solar,2006-06-01,Zaragoza,villarroya campo,"41,14313846","-1,32381234"
Puebla de Castro (La),10.0,Solar,2006-05-01,Huesca,puebla castro,"42,14499849","0,28728179"
Barbastro,30.0,Solar,2006-05-01,Huesca,barbastro,"42,03662727","0,12246205"
MonzÃ³n,15.0,Solar,2006-06-01,Huesca,monza3n,,
Monreal del Campo,10.0,Solar,2006-03-16,Teruel,monreal campo,"40,79010149","-1,35403777"
Huesca,39200.0,Eolico,2006-05-12,Huesca,huesca,"42,14062739","-0,40842276"
Villarroya del Campo,64.0,Solar,2006-06-01,Zaragoza,villarroya campo,"41,14313846","-1,32381234"
