idCon;COD_GEOGRAFICO;NOMBRE_ACTUAL;PROVINCIA;MUNICIPIOS;idINES;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
54;24999;Mancomunidad de Villagatón y Quintana del Castillo;León;"VILLAGATÓN;QUINTANA DEL CASTILLO";"*;24210;24123";70;3855;-6,091714;42,609764;;;
55;25999;Comunidad de El Pont de Bar y Cava;Lleida;"CAVA;PONT DE BAR, EL";"*;25071;25030";6;2158;1,644116;42,348019;;;
56;26998;Mancomunidad de Nalda, Sorzano y Viguera;La Rioja;"NALDA;SORZANO;VIGUERA";"*;26103;26144;26165";1742,17;23834,4;-2,584069;42,317864;;;
57;28999;Los Baldios;Madrid;"CERCEDILLA;NAVACERRADA";"*;28038;28093";521;12607;-4,014282;40,766324;;;
58;28998;El Redegüelo;Madrid;"MANZANARES EL REAL;BOALO, EL";"*;28082;28023";64;3612;-3,917228;40,682107;;;
59;31996;Facero de Uzamalarre;Navarra;"ANUE;LANTZ;ULTZAMA";"*;31017;31140;31236";71;3785;-1,63306;42,98198;;;
60;31986;Facería de Arambelza;Navarra;"ARELLANO;ARRÓNIZ;DICASTILLO";"*;31030;31036;31080";243;7736;-2,072303;42,613791;;;
61;31997;Mancomunidad de Beunza y Juarbe;Navarra;"ATEZ;ULTZAMA";"*;31040;31236";89;4838;-1,728922;42,981809;;;
62;31991;Comunidad de Barbarin y Olejua;Navarra;"BARBARIN;OLEJUA";"*;31046;31190";78;3939;-2,147063;42,575368;;;
63;31993;Monte Comunal de las Limitaciones;Navarra;"EULATE;ARANARACHE;LARRAONA;AMÉSCOA BAJA";"*;31100;31021;31143;31013";5033;50550;-2,191978;42,798778;;;
64;31995;Facería de Ezcabarte y otros;Navarra;"EZCABARTE;ANSOÁIN;JUSLAPEÑA";"*;31101;31016;31136";23;2063;-1,671129;42,862459;;;
65;31998;Facería de Aldape;Navarra;"UHARTE-ARAKIL;IRAÑETA";"*;31123;31127";84;6014;-1,933084;42,939848;;;
66;31984;Facería de Montejurra;Navarra;"IGÚZQUIZA;VILLAMAYOR DE MONJARDÍN";"*;31125;31255";141;6182;-2,071015;42,625768;;;
67;31994;Comunidad del Valle de Salazar;Navarra;"JAURRIETA;URRAUL ALTO";"*;31134;31241";840;12990;-1,18436;42,86647;;;
68;31985;Facero de Aristregui;Navarra;"JUSLAPEÑA;IZA";"*;31136;31131";196;6702;-1,738965;42,886634;;;
