Municipio,Potencia,Grupo,Fecha,Provincia
Huesca,39200.0,Eolico,2006-05-12,Huesca
Villarroya del Campo,64.0,Solar,2006-06-01,Zaragoza
Villarroya del Campo,79.2,Solar,2020-06-04,Zaragoza
Zaragoza,5.0,Solar,2006-08-28,Zaragoza
Tierz,5.0,Solar,2006-08-25,Huesca
Jaca,4.6,Solar,2006-08-30,Huesca
Jaca,7.0,Solar,2007-05-09,Huesca
Utrillas,9.9,Solar,2006-08-28,Teruel
Fuentes de Ebro,4.6,Solar,2006-09-04,Zaragoza
Teruel,10.0,Solar,2006-10-02,Teruel
Monegrillo,37.5,Solar,2008-07-31,Zaragoza
Monegrillo,30.0,Solar,2005-11-28,Zaragoza
Castellote,80.0,Solar,2006-09-26,Teruel
Castellote,20.0,Solar,2008-06-27,Teruel
Huesca,96.0,Solar,2006-10-02,Huesca
Pedrola,4.6,Solar,2006-09-29,Zaragoza
Peñalba,5.0,Solar,2006-10-02,Huesca
Castellote,7.5,Solar,2006-09-26,Teruel
Andorra,5.0,Solar,2006-10-04,Teruel
Teruel,5.0,Solar,2006-10-31,Teruel
Zaragoza,9.9,Solar,2006-10-24,Zaragoza
Zaragoza,4.6,Solar,2006-10-24,Zaragoza
Sotonera (La),10.0,Solar,2006-10-24,Huesca
Alagón,7.5,Solar,2006-10-25,Zaragoza
Pomer,100.0,Solar,2006-11-17,Zaragoza
Teruel,5.0,Solar,2006-11-30,Teruel
Castejón del Puente,50.0,Solar,2006-11-23,Huesca
Sotonera (La),50.0,Solar,2006-03-27,Huesca
Sotonera (La),40.0,Solar,2008-01-21,Huesca
Botorrita,5.0,Solar,2006-11-27,Zaragoza
Sotonera (La),9.0,Solar,2006-11-29,Huesca
Monreal del Campo,10.0,Solar,2006-11-29,Teruel
Monreal del Campo,10.0,Solar,2006-05-26,Teruel
Fueva (La),9.0,Solar,2006-11-29,Huesca
Zaragoza,5.0,Solar,2007-01-12,Zaragoza
Zaragoza,5.0,Solar,2007-01-12,Zaragoza
Zaragoza,5.0,Solar,2007-01-12,Zaragoza
Zaragoza,5.0,Solar,2007-01-12,Zaragoza
Zaragoza,3.9,Solar,2007-01-12,Zaragoza
Zaragoza,3.9,Solar,2007-01-12,Zaragoza
Escucha,32300.0,Eolico,2007-02-19,Teruel
Villanueva de Huerva,5.0,Solar,2007-01-15,Zaragoza
Villarquemado,9.9,Solar,2006-12-27,Teruel
Biota,100.0,Solar,2007-01-09,Zaragoza
Calanda,50.0,Solar,2007-01-10,Teruel
Nonaspe,7.5,Solar,2007-01-09,Zaragoza
Romanos,5.0,Solar,2006-10-04,Zaragoza
Calanda,2.5,Solar,2007-01-15,Teruel
Ibdes,7.5,Solar,2007-01-26,Zaragoza
Estadilla,96.0,Solar,2007-01-16,Huesca
Mosqueruela,5.0,Solar,2007-01-17,Teruel
Estadilla,5.0,Solar,2007-01-26,Huesca
Alcañiz,5.0,Solar,2007-01-15,Teruel
Tarazona,50.0,Solar,2007-01-17,Zaragoza
Peraltilla,5.0,Solar,2007-01-26,Huesca
Huesca,45.0,Solar,2007-02-08,Huesca
Maella,50.0,Solar,2007-02-12,Zaragoza
Figueruelas,4.6,Solar,2007-02-28,Zaragoza
Alcañiz,9.9,Solar,2007-05-13,Teruel
Teruel,7.5,Solar,2007-03-13,Teruel
Gea de Albarracín,5.0,Solar,2007-03-26,Teruel
Gea de Albarracín,5.0,Solar,2007-03-26,Teruel
Barbastro,25.0,Solar,2007-04-10,Huesca
Ayerbe,64.0,Solar,2007-03-26,Huesca
Albalatillo,100.0,Solar,2007-04-10,Huesca
Fueva (La),8.25,Solar,2007-04-10,Huesca
Cariñena,7.5,Solar,2007-04-02,Zaragoza
Plan,2.5,Solar,2007-02-20,Huesca
Mozota,2.5,Solar,2007-04-16,Zaragoza
Híjar,100.0,Solar,2007-04-20,Teruel
Bárcabo,8.25,Solar,2007-05-09,Huesca
Alcampell,75.0,Solar,2007-05-09,Huesca
Gallocanta,2.5,Solar,2007-05-16,Zaragoza
Torrecilla de Alcañiz,30.0,Solar,2007-05-18,Teruel
Rueda de Jalón,23540.0,Eolico,2007-12-27,Zaragoza
Valderrobres,10.0,Solar,2007-05-17,Teruel
Botorrita,5.0,Solar,2007-05-31,Zaragoza
Mas de las Matas,9.9,Solar,2007-05-31,Teruel
Teruel,10.0,Solar,2007-05-31,Teruel
Teruel,10.0,Solar,2007-06-14,Teruel
Huesca,80.0,Solar,2007-05-31,Huesca
Puebla de Valverde (La),1000.0,Eolico,2019-06-25,Teruel
Puebla de Valverde (La),25000.0,Eolico,2007-12-12,Teruel
Alcorisa,20.0,Solar,2007-07-05,Teruel
Gallur,4.6,Solar,2007-07-24,Zaragoza
Lalueza,10.0,Solar,2007-07-24,Huesca
Alhama de Aragón,100.0,Solar,2007-09-05,Zaragoza
Huesca,100.0,Solar,2007-09-26,Huesca
Ejea de los Caballeros,85.0,Solar,2007-09-05,Zaragoza
Sádaba,7.5,Solar,2007-08-31,Zaragoza
Calatayud,100.0,Solar,2007-08-21,Zaragoza
Gallur,7.5,Solar,2007-09-03,Zaragoza
Torres de Albarracín,100.0,Solar,2007-10-09,Teruel
Valpalmas,5.0,Solar,2007-10-16,Zaragoza
Poleñino,100.0,Solar,2007-10-16,Huesca
Robres,100.0,Solar,2007-10-16,Huesca
Zaragoza,7.5,Solar,2005-10-17,Zaragoza
Zaragoza,10.0,Solar,2005-10-18,Zaragoza
Zaragoza,10.0,Solar,2008-11-13,Zaragoza
Mas de las Matas,10.0,Solar,2005-10-24,Teruel
Zaragoza,25.0,Solar,2007-10-18,Zaragoza
Calamocha,100.0,Solar,2007-10-18,Teruel
Almochuel,10.0,Solar,2007-10-26,Zaragoza
Muel,2.5,Solar,2007-10-26,Zaragoza
Poleñino,100.0,Solar,2007-10-26,Huesca
Mallén,80.0,Solar,2007-10-09,Zaragoza
Andorra,2.5,Solar,2007-11-14,Teruel
Castelserás,10.0,Solar,2007-11-15,Teruel
Castelserás,10.0,Solar,2007-11-16,Teruel
Cariñena,2.5,Solar,2007-11-06,Zaragoza
Ejea de los Caballeros,96.0,Solar,2007-11-26,Zaragoza
Ariza,100.0,Solar,2007-11-19,Zaragoza
Ariza,100.0,Solar,2007-11-19,Zaragoza
Ariza,100.0,Solar,2007-11-19,Zaragoza
Castelserás,10.0,Solar,2007-11-20,Teruel
Teruel,1.8,Solar,2007-11-20,Teruel
Tauste,85.0,Solar,2007-12-05,Zaragoza
Luna,96.0,Solar,2007-11-28,Zaragoza
Luna,96.0,Solar,2007-11-28,Zaragoza
Luna,64.0,Solar,2007-11-28,Zaragoza
Luna,32.0,Solar,2007-11-28,Zaragoza
Luna,96.0,Solar,2007-11-28,Zaragoza
Luna,96.0,Solar,2007-11-28,Zaragoza
Aguarón,50.0,Solar,2007-11-28,Zaragoza
Aguarón,50.0,Solar,2008-09-22,Zaragoza
Utebo,2.5,Solar,2007-12-03,Zaragoza
Zaragoza,15.0,Solar,2007-09-05,Zaragoza
Pomer,5.0,Solar,2008-02-06,Zaragoza
Blancas,60.0,Solar,2008-02-06,Teruel
Salillas de Jalón,95.0,Solar,2008-01-15,Zaragoza
Salillas de Jalón,90.2,Solar,2008-01-15,Zaragoza
Salillas de Jalón,93.6,Solar,2008-01-15,Zaragoza
Salillas de Jalón,93.6,Solar,2007-01-15,Zaragoza
Salillas de Jalón,97.4,Solar,2008-01-15,Zaragoza
Salillas de Jalón,65.0,Solar,2008-01-15,Zaragoza
Salillas de Jalón,95.0,Solar,2008-01-15,Zaragoza
Aliaga,100.0,Solar,2008-01-15,Teruel
Sestrica,11900.0,Eolico,2007-12-28,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Sádaba,100.0,Solar,2008-02-11,Zaragoza
Quinto,1650.0,Eolico,2008-06-11,Zaragoza
Cantavieja,80.0,Solar,2008-02-20,Teruel
Cuarte de Huerva,3.8,Solar,2008-02-20,Zaragoza
Belchite,45.0,Solar,2008-03-07,Zaragoza
Almunia de San Juan,99.0,Solar,2008-02-19,Huesca
Azaila,90.0,Solar,2008-02-25,Teruel
Quinto,2.5,Solar,2008-02-25,Zaragoza
Quinto,2.5,Solar,2008-09-22,Zaragoza
Almunia de San Juan,5.0,Solar,2008-03-12,Huesca
Biota,76.5,Solar,2008-04-30,Zaragoza
Fuendetodos,54.0,Solar,2008-04-30,Zaragoza
Sádaba,100.0,Solar,2008-05-02,Zaragoza
Ejea de los Caballeros,100.0,Solar,2008-03-25,Zaragoza
Ejea de los Caballeros,100.0,Solar,2008-03-25,Zaragoza
Ejea de los Caballeros,100.0,Solar,2008-03-25,Zaragoza
Bárboles,100.0,Solar,2008-04-09,Zaragoza
Valle de Lierp,100.0,Solar,2008-04-07,Huesca
Valle de Lierp,100.0,Solar,2008-04-08,Huesca
Bárboles,100.0,Solar,2008-03-31,Zaragoza
Ejea de los Caballeros,100.0,Solar,2008-04-14,Zaragoza
Ejea de los Caballeros,100.0,Solar,2008-04-24,Zaragoza
Alcañiz,100.0,Solar,2008-04-15,Teruel
Jaca,65.0,Solar,2008-04-17,Huesca
Santa Eulalia,5.0,Solar,2008-04-22,Teruel
Cella,20.0,Solar,2008-05-09,Teruel
Cella,10.0,Solar,2008-05-09,Teruel
Cella,10.0,Solar,2008-05-09,Teruel
Cella,10.0,Solar,2008-05-09,Teruel
Cella,10.0,Solar,2008-05-09,Teruel
Cella,10.0,Solar,2008-05-09,Teruel
Cella,10.0,Solar,2008-05-09,Teruel
Huesca,80.0,Solar,2008-05-26,Huesca
Gurrea de Gállego,2.5,Solar,2008-05-23,Huesca
Siétamo,5.0,Solar,2008-06-10,Huesca
Loporzano,35.0,Solar,2008-05-21,Huesca
Caminreal,50.0,Solar,2008-06-09,Teruel
Monesma y Cajigar,9.9,Solar,2008-06-18,Huesca
Siétamo,100.0,Solar,2008-06-18,Huesca
Banastás,15.0,Solar,2008-06-20,Huesca
Huesca,100.0,Solar,2008-06-24,Huesca
Alacón,10.0,Solar,2008-06-14,Teruel
Sos del Rey Católico,85.0,Solar,2008-08-25,Zaragoza
Isuerre,60.0,Solar,2008-07-31,Zaragoza
Isuerre,60.0,Solar,2008-07-31,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Zaragoza,100.0,Solar,2008-06-11,Zaragoza
Gelsa,100.0,Solar,2008-07-11,Zaragoza
Gelsa,100.0,Solar,2008-07-11,Zaragoza
Gelsa,100.0,Solar,2008-07-11,Zaragoza
Gelsa,100.0,Solar,2008-07-11,Zaragoza
Gelsa,100.0,Solar,2008-07-11,Zaragoza
Monreal del Campo,99.0,Solar,2008-07-15,Teruel
Huesca,100.0,Solar,2008-07-28,Huesca
Zaragoza,100.0,Solar,2008-07-22,Zaragoza
Zaragoza,100.0,Solar,2008-07-29,Zaragoza
Miedes de Aragón,15.0,Solar,2008-07-10,Zaragoza
Valpalmas,100.0,Solar,2008-09-03,Zaragoza
Valpalmas,100.0,Solar,2008-09-03,Zaragoza
Valpalmas,100.0,Solar,2008-09-03,Zaragoza
Valpalmas,100.0,Solar,2008-09-03,Zaragoza
Puebla de Híjar (La),7.5,Solar,2008-06-26,Teruel
Celadas,69.3,Solar,2008-06-27,Teruel
Celadas,99.0,Solar,2008-06-27,Teruel
Celadas,99.0,Solar,2008-06-27,Teruel
Celadas,99.0,Solar,2008-06-27,Teruel
Celadas,99.0,Solar,2008-06-27,Teruel
Celadas,99.0,Solar,2008-06-27,Teruel
Celadas,99.0,Solar,2008-06-27,Teruel
Celadas,99.0,Solar,2008-06-27,Teruel
Celadas,99.0,Solar,2008-06-27,Teruel
Celadas,99.0,Solar,2008-06-27,Teruel
Retascón,100.0,Solar,2008-06-27,Zaragoza
Retascón,100.0,Solar,2008-06-27,Zaragoza
Retascón,70.0,Solar,2008-06-27,Zaragoza
Retascón,100.0,Solar,2008-06-27,Zaragoza
